BUY SIGNAL FLASHED AT 3183,9171746501647 EURO
BUY SIGNAL FLASHED AT 3195,041176026988 EURO
BUY SIGNAL FLASHED AT 3201,7518462910143 EURO
BUY SIGNAL FLASHED AT 3205,047983744193 EURO
BUY SIGNAL FLASHED AT 3236,7221201801385 EURO
BUY SIGNAL FLASHED AT 3240,0504485619963 EURO
BUY SIGNAL FLASHED AT 3283,7053854106252 EURO
BUY SIGNAL FLASHED AT 3277,0611095285617 EURO
BUY SIGNAL FLASHED AT 3273,236682524494 EURO
BUY SIGNAL FLASHED AT 3274,450972478855 EURO
SELL SIGNAL FLASHED AT 3293,0314327694064 EURO


SELL SIGNAL FLASHED AT 3287,3210408399755 EURO


BUY SIGNAL FLASHED AT ;3339,4014938231585 EURO
BUY SIGNAL FLASHED AT ;3326,1116445581783 EURO
BUY SIGNAL FLASHED AT ;3372,1971831084647 EURO
BUY SIGNAL FLASHED AT ;3395,799739202389 EURO
BUY SIGNAL FLASHED AT ;3427,482724157924 EURO
BUY SIGNAL FLASHED AT ;3389,1389228223343 EURO
SELL SIGNAL FLASHED AT ;3401,4935725269306 EURO
BUY SIGNAL FLASHED AT ;3401,6461503974297 EURO
BUY SIGNAL FLASHED AT ;3391,251367309875 EURO
SELL SIGNAL FLASHED AT ;3381,154356564765 EURO
SELL SIGNAL FLASHED AT ;3363,3860096059734 EURO
BUY SIGNAL FLASHED AT ;3351,8386684161637 EURO
